Date,Thực tế,Dự đoán theo LSTM,Dự đoán theo GRU,Dự đoán theo BiLSTM,Dự đoán theo Transformers,Dự đoán theo mô hình ConvLSTM
2020-01-12 10:00:00,1.09604729675401,1.069769,1.1621383,1.2114462,1.0275372,1.0684797
2020-01-12 12:00:00,1.0,0.9773109,1.0248452,1.0541284,1.0248191,1.0011696
2020-01-12 14:00:00,1.0,1.0103971,1.1307135,1.0684962,1.0247296,1.1289911
2020-01-12 16:00:00,1.0,0.9415321,1.0826386,1.0453358,1.025893,1.0745856
2020-01-12 18:00:00,1.0,1.0236726,1.118196,1.0308895,1.0256948,1.0791756
2020-01-12 20:00:00,1.0,1.0182463,1.1210752,1.0550075,1.0257807,1.0231779
2020-01-12 22:00:00,1.0,1.0274513,1.1565129,1.0410322,1.0252702,1.0723971
2020-01-13 00:00:00,1.0,1.0037341,1.1378344,1.0615681,1.0263023,1.0149813
2020-01-13 02:00:00,1.0,1.0371814,1.1992399,1.0210624,1.0261092,1.0910969
2020-01-13 04:00:00,1.0,1.0414835,1.1247615,1.0108644,1.0269157,1.0693679
2020-01-13 06:00:00,1.0,1.0312854,1.1616324,1.0226214,1.0266104,1.0576417
2020-01-13 08:00:00,1.0,1.0363033,1.1351234,1.0394827,1.025633,1.0436758
2020-01-13 10:00:00,1.0,1.0004164,1.1589359,1.0459595,1.0250869,1.0821626
2020-01-13 12:00:00,1.76332474277909,1.6643344,1.8069271,1.7203816,1.9254427,1.8432033
2020-01-13 14:00:00,1.13499295165721,1.148296,1.3051459,1.1665025,1.02611,1.2380474
2020-01-13 16:00:00,1.55377450397434,1.5084387,1.6307392,1.5156654,1.6886028,1.6353663
2020-01-13 18:00:00,1.0,1.0085518,1.187276,1.0341856,1.0245426,1.0582862
2020-01-13 20:00:00,1.14534211668894,1.1270025,1.2521044,1.175054,1.0272274,1.1519496
2020-01-13 22:00:00,1.0,1.0034101,1.1469331,1.052063,1.0247682,1.0196569
2020-01-14 00:00:00,1.0,0.9942967,1.1027002,1.0362291,1.0250447,0.95487916
2020-01-14 02:00:00,1.09496030999085,1.1124705,1.2133958,1.1078132,1.0276641,1.136887
2020-01-14 04:00:00,1.0,1.0433564,1.1176624,1.0268295,1.0258707,1.0593538
2020-01-14 06:00:00,1.33810763404899,1.3730931,1.4038912,1.2829092,1.0758084,1.3921643
2020-01-14 08:00:00,1.0,1.1129903,1.1281388,0.97655493,1.024695,1.0290971
2020-01-14 10:00:00,1.0,1.1486344,1.1245774,0.94890994,1.0243399,0.9911478
2020-01-14 12:00:00,1.0,1.1266797,1.1549908,0.94582903,1.0243224,0.99611104
2020-01-14 14:00:00,1.0,1.1016952,1.1434258,0.9609106,1.0243548,0.9732235
2020-01-14 16:00:00,1.0,1.0966927,1.1887587,0.9850144,1.0242589,1.0358208
2020-01-14 18:00:00,1.0,1.0819627,1.1471831,0.9669978,1.0244826,0.9557635
2020-01-14 20:00:00,1.0,1.1052611,1.1615787,0.9637421,1.0244098,0.9665832
2020-01-14 22:00:00,1.0,1.0977821,1.1075511,0.9434594,1.0245526,0.9395579
2020-01-15 00:00:00,1.0,1.1183512,1.1276592,0.9804179,1.0244746,0.96937793
2020-01-15 02:00:00,1.0,1.1056508,1.1112968,0.94798136,1.0245804,0.94339526
2020-01-15 04:00:00,1.18678807931286,1.2747799,1.2773362,1.1325628,1.0266091,1.1449949
2020-01-15 06:00:00,1.0,1.0878843,1.1300919,0.9811099,1.0244677,0.92658436
2020-01-15 08:00:00,1.0,1.0357429,1.1069192,1.0126399,1.0246265,0.8869151
2020-01-15 10:00:00,1.0,1.0417686,1.0901831,1.0004251,1.0246652,0.9184169
2020-01-15 12:00:00,1.0,1.0477633,1.1106163,1.0039811,1.0246587,0.9526128
2020-01-15 18:00:00,1.0,1.0317695,1.1377852,1.0237837,1.0248822,1.0380315
